"pincode","city","canton","canton_code","country","country_code","longitude","latitude","bfsnr"
5246,"Scherz","Aargau","AG","Schweiz","CH",8.183993,47.446326,4104
5272,"Gansingen","Aargau","AG","Schweiz","CH",8.126227,47.536233,4164
5273,"Oberhofen AG","Aargau","AG","Schweiz","CH",8.115638,47.552731,4184
5274,"Mettau","Aargau","AG","Schweiz","CH",8.12625,47.56667,4184
5275,"Etzgen","Aargau","AG","Schweiz","CH",8.112723,47.570983,4184
5276,"Wil AG","Aargau","AG","Schweiz","CH",8.154864,47.565945,4184
5277,"Hottwil","Aargau","AG","Schweiz","CH",8.161843,47.543034,4184
5300,"Turgi","Aargau","AG","Schweiz","CH",8.25899575972331,47.4877821570549,4042
5301,"Siggenthal Station","Aargau","AG","Schweiz","CH",108.209892,23.24585,4044
5303,"Würenlingen","Aargau","AG","Schweiz","CH",8.2492606210873,47.532130003545,4047
5304,"Endingen","Aargau","AG","Schweiz","CH",8.29013236090453,47.5307036868274,4305
5305,"Unterendingen","Aargau","AG","Schweiz","CH",8.287957,47.54564,4305
5306,"Tegerfelden","Aargau","AG","Schweiz","CH",8.284845,47.562604,4320
5312,"Döttingen","Aargau","AG","Schweiz","CH",8.25303939567492,47.5600037205927,4304
5313,"Klingnau","Aargau","AG","Schweiz","CH",8.25067862915666,47.5886487092106,4309
5314,"Kleindöttingen","Aargau","AG","Schweiz","CH",8.247115,47.570997,4303
5315,"Böttstein","Aargau","AG","Schweiz","CH",8.225764,47.555672,4303
5316,"Felsenau AG","Aargau","AG","Schweiz","CH",8.20797899684127,47.5800265103519,4313
5316,"Leuggern","Aargau","AG","Schweiz","CH",8.20797899684127,47.5800265103519,4313
5317,"Hettenschwil","Aargau","AG","Schweiz","CH",8.198804,47.576704,4313
5318,"Mandach","Aargau","AG","Schweiz","CH",8.18329,47.550629,4105
5322,"Koblenz","Aargau","AG","Schweiz","CH",8.24487078843223,47.6043658972828,4310
5323,"Rietheim","Aargau","AG","Schweiz","CH",8.269025,47.598566,4324
5324,"Full-Reuenthal","Aargau","AG","Schweiz","CH",8.200742,47.602662,4307
5325,"Leibstadt","Aargau","AG","Schweiz","CH",8.1784849218056,47.5897250386216,4311
5326,"Schwaderloch","Aargau","AG","Schweiz","CH",8.144856,47.584987,4176
5330,"Bad Zurzach","Aargau","AG","Schweiz","CH",8.292674,47.595567,4324
5332,"Rekingen AG","Aargau","AG","Schweiz","CH",8.277489,47.566613,4324
5333,"Baldingen","Aargau","AG","Schweiz","CH",8.313637,47.554707,4324
5334,"Böbikon","Aargau","AG","Schweiz","CH",8.332774,47.549194,4324
5400,"Baden","Aargau","AG","Schweiz","CH",8.28965754542676,47.465128561247,4021
5404,"Baden","Aargau","AG","Schweiz","CH",8.306445,47.47433,4021
5405,"Dättwil AG","Aargau","AG","Schweiz","CH",8.28965754542676,47.465128561247,4021
5406,"Rütihof","Aargau","AG","Schweiz","CH",8.28965754542676,47.465128561247,4021
5408,"Ennetbaden","Aargau","AG","Schweiz","CH",8.322162,47.480363,4026
5412,"Gebenstorf","Aargau","AG","Schweiz","CH",8.2475769344182,47.4804690379489,4029
5413,"Birmenstorf AG","Aargau","AG","Schweiz","CH",8.2404,47.456019,4024
5415,"Hertenstein AG","Aargau","AG","Schweiz","CH",8.293214,47.4867,4038
5415,"Rieden AG","Aargau","AG","Schweiz","CH",8.293214,47.4867,4038
5415,"Nussbaumen AG","Aargau","AG","Schweiz","CH",8.293214,47.4867,4038
5416,"Kirchdorf AG","Aargau","AG","Schweiz","CH",8.282601,47.498691,4038
5417,"Untersiggenthal","Aargau","AG","Schweiz","CH",8.2564762607217,47.5067242393055,4044
5420,"Ehrendingen","Aargau","AG","Schweiz","CH",8.34685657150591,47.4943581115251,4049
5423,"Freienwil","Aargau","AG","Schweiz","CH",8.317444,47.500853,4028
5425,"Schneisingen","Aargau","AG","Schweiz","CH",8.36176669160492,47.524956531325,4318
5426,"Lengnau AG","Aargau","AG","Schweiz","CH",8.288422,47.525018,4312
5430,"Wettingen","Aargau","AG","Schweiz","CH",8.34130153525562,47.4667881679712,4045
5432,"Neuenhof","Aargau","AG","Schweiz","CH",8.32517365702125,47.4440664195835,4034
5436,"Würenlos","Aargau","AG","Schweiz","CH",8.36380350426459,47.4472449773777,4048
5442,"Fislisbach","Aargau","AG","Schweiz","CH",8.29079070305131,47.4375157869393,4027
5443,"Niederrohrdorf","Aargau","AG","Schweiz","CH",8.30140526315023,47.4201133634704,4035
5444,"Künten","Aargau","AG","Schweiz","CH",8.32540688741333,47.3859765120476,4031
5445,"Eggenwil","Aargau","AG","Schweiz","CH",8.337094,47.370185,4066
5452,"Oberrohrdorf","Aargau","AG","Schweiz","CH",8.32054851199935,47.4251409520457,4037
5453,"Remetschwil","Aargau","AG","Schweiz","CH",8.321078,47.403811,4039
5454,"Bellikon","Aargau","AG","Schweiz","CH",8.34942529992402,47.3915914358497,4022
5462,"Siglistorf","Aargau","AG","Schweiz","CH",8.37999,47.5432,4319
5463,"Wislikofen","Aargau","AG","Schweiz","CH",8.363365,47.552083,4324
5464,"Rümikon AG","Aargau","AG","Schweiz","CH",8.378973,47.559805,4324
5465,"Mellikon","Aargau","AG","Schweiz","CH",8.345048,47.563315,4314
5466,"Kaiserstuhl AG","Aargau","AG","Schweiz","CH",8.41681,47.563979,4324
5467,"Fisibach","Aargau","AG","Schweiz","CH",8.404164,47.556832,4306
5502,"Hunzenschwil","Aargau","AG","Schweiz","CH",8.12286402367894,47.3841598490596,4200
5503,"Schafisheim","Aargau","AG","Schweiz","CH",8.1392415254322,47.3737179041783,4207
5504,"Othmarsingen","Aargau","AG","Schweiz","CH",8.21469187581056,47.4015961033559,4205
5505,"Brunegg","Aargau","AG","Schweiz","CH",8.21607,47.419239,4193
5506,"Mägenwil","Aargau","AG","Schweiz","CH",8.23375769421074,47.412206187817,4032
5507,"Mellingen","Aargau","AG","Schweiz","CH",8.27418474080079,47.4211587049538,4033
5512,"Wohlenschwil","Aargau","AG","Schweiz","CH",8.25393060717291,47.4167429549661,4046
5522,"Tägerig","Aargau","AG","Schweiz","CH",8.2792959208152,47.3999841068256,4077
5524,"Nesselnbach","Aargau","AG","Schweiz","CH",8.288029,47.377928,4072
5524,"Niederwil AG","Aargau","AG","Schweiz","CH",8.288029,47.377928,4072
5525,"Fischbach-Göslikon","Aargau","AG","Schweiz","CH",8.306164,47.368998,4067
5600,"Lenzburg","Aargau","AG","Schweiz","CH",8.18053663260023,47.3855669978202,4201
5600,"Ammerswil AG","Aargau","AG","Schweiz","CH",8.18053663260023,47.3855669978202,4201
5603,"Staufen","Aargau","AG","Schweiz","CH",8.160098859771,47.3786895428776,4210
5604,"Hendschiken","Aargau","AG","Schweiz","CH",8.216108,47.384488,4198
5605,"Dottikon","Aargau","AG","Schweiz","CH",8.24256729651132,47.3806008590755,4065
5606,"Dintikon","Aargau","AG","Schweiz","CH",8.221878083703,47.36162908064,4194
5607,"Hägglingen","Aargau","AG","Schweiz","CH",8.2582881359136,47.3900338689825,4068
5608,"Stetten AG","Aargau","AG","Schweiz","CH",8.304382,47.401022,4041
