"pincode","city","canton","canton_code","country","country_code"
8735,"Rüeterswil","St. Gallen","SG","Schweiz","CH"
8735,"St. Gallenkappel","St. Gallen","SG","Schweiz","CH"
8737,"Gommiswald","St. Gallen","SG","Schweiz","CH"
8738,"Uetliburg SG","St. Gallen","SG","Schweiz","CH"
8739,"Rieden SG","St. Gallen","SG","Schweiz","CH"
8750,"Klöntal","Glarus","GL","Schweiz","CH"
8750,"Glarus","Glarus","GL","Schweiz","CH"
8750,"Riedern","Glarus","GL","Schweiz","CH"
8751,"Urnerboden","Uri","UR","Schweiz","CH"
8752,"Näfels","Glarus","GL","Schweiz","CH"
8753,"Mollis","Glarus","GL","Schweiz","CH"
8754,"Netstal","Glarus","GL","Schweiz","CH"
8755,"Ennenda","Glarus","GL","Schweiz","CH"
8756,"Mitlödi","Glarus","GL","Schweiz","CH"
8757,"Filzbach","Glarus","GL","Schweiz","CH"
8758,"Obstalden","Glarus","GL","Schweiz","CH"
8762,"Schwändi b. Schwanden","Glarus","GL","Schweiz","CH"
8762,"Sool","Glarus","GL","Schweiz","CH"
8762,"Schwanden GL","Glarus","GL","Schweiz","CH"
8765,"Engi","Glarus","GL","Schweiz","CH"
8766,"Matt","Glarus","GL","Schweiz","CH"
8767,"Elm","Glarus","GL","Schweiz","CH"
8772,"Nidfurn","Glarus","GL","Schweiz","CH"
8773,"Haslen GL","Glarus","GL","Schweiz","CH"
8774,"Leuggelbach","Glarus","GL","Schweiz","CH"
8775,"Luchsingen","Glarus","GL","Schweiz","CH"
8775,"Hätzingen","Glarus","GL","Schweiz","CH"
8777,"Diesbach GL","Glarus","GL","Schweiz","CH"
8777,"Betschwanden","Glarus","GL","Schweiz","CH"
8782,"Rüti GL","Glarus","GL","Schweiz","CH"
8783,"Linthal","Glarus","GL","Schweiz","CH"
8784,"Braunwald","Glarus","GL","Schweiz","CH"
8800,"Thalwil","Zürich","ZH","Schweiz","CH"
8802,"Kilchberg ZH","Zürich","ZH","Schweiz","CH"
8803,"Rüschlikon","Zürich","ZH","Schweiz","CH"
8804,"Au ZH","Zürich","ZH","Schweiz","CH"
8805,"Richterswil","Zürich","ZH","Schweiz","CH"
8806,"Bäch SZ","Schwyz","SZ","Schweiz","CH"
8807,"Freienbach","Schwyz","SZ","Schweiz","CH"
8808,"Pfäffikon SZ","Schwyz","SZ","Schweiz","CH"
8810,"Horgen","Zürich","ZH","Schweiz","CH"
8815,"Horgenberg","Zürich","ZH","Schweiz","CH"
8816,"Hirzel","Zürich","ZH","Schweiz","CH"
8820,"Wädenswil","Zürich","ZH","Schweiz","CH"
8824,"Schönenberg ZH","Zürich","ZH","Schweiz","CH"
8825,"Hütten","Zürich","ZH","Schweiz","CH"
8832,"Wilen b. Wollerau","Schwyz","SZ","Schweiz","CH"
8832,"Wollerau","Schwyz","SZ","Schweiz","CH"
8833,"Samstagern","Zürich","ZH","Schweiz","CH"
8834,"Schindellegi","Schwyz","SZ","Schweiz","CH"
8835,"Feusisberg","Schwyz","SZ","Schweiz","CH"
8836,"Bennau","Schwyz","SZ","Schweiz","CH"
